symbol,exchange,earnings,short_fee,volume_yesterday,Ipo_check,low_day_1,low_day_2,open_p,p_after_5,top_50_vol
AAPL,NASD,None,0.0,376544.63,True,168.35,166.24,170.57,0.0,False
PFE,NYSE,None,0.0,97349.1,True,47.27,47.38,47.62,0.0,False
AMZN,NASD,None,0.0,259981.44,True,134.28,132.1,136.58,0.0,False
BNTX,NASD,None,0.0,3229.83,True,145.71,145.89,145.16,0.0,False
MRNA,NASD,None,0.0,22348.37,True,137.78,140.63,142.8,0.0,False
TSLA,NASD,None,0.0,350712.31,True,291.6,296.5033,297.37,0.0,False
DELL,NYSE,None,0.0,23002.83,True,47.15,46.19,45.86,0.0,False
GOOGL,NASD,None,0.0,103765.76,True,114.11,112.87,114.67,0.0,False
GOOG,NASD,None,0.0,101609.22,True,115.05,113.78,115.86,0.0,False
NVDA,NASD,None,0.0,601133.93,True,168.33,168.95,178.53,0.0,False
